"brand","title","price","url"
"Asics","Zapatos Asics Dynablast 5 Mujer","98.94","https://fitpoint.ec/zapatos-asics-dynablast-5-mujer-1012b776-asi-100.html"
"Asics","Zapatos Asics Gel-Cumulus 27 Mujer","129.43","https://fitpoint.ec/zapatos-asics-gel-cumulus-27-mujer-1012b772-asi-401.html"
"Asics","Zapatos Asics Gel-Sonoma 8 Mujer","87.43","https://fitpoint.ec/zapatos-asics-gel-sonoma-8-mujer-1012b771-asi-400.html"
"Asics","Zapatos Asics Gel-Nimbus 27 Mujer","150.43","https://fitpoint.ec/zapatos-asics-gel-nimbus-27-mujer-1012b753-asi-400.html"
"Asics","Zapatos Asics Magic Speed 4 Mujer","157.43","https://fitpoint.ec/zapatos-asics-magic-speed-4-mujer-1012b676-asi-101.html"
"Asics","Zapatos Asics Jolt 5 Hombre","66.43","https://fitpoint.ec/zapatos-asics-jolt-5-hombre-1011b963-asi-400.html"
"Asics","Zapatos Asics Gel-Nimbus 27 Hombre","150.43","https://fitpoint.ec/zapatos-asics-gel-nimbus-27-hombre-1011b958-asi-021.html"
"Asics","Zapatos Asics Gel-Contend 9 Hombre","73.43","https://fitpoint.ec/zapatos-asics-gel-contend-9-hombre-1011b881-asi-405.html"
"Asics","Zapatos Asics Magic Speed 4 Hombre","157.43","https://fitpoint.ec/zapatos-asics-magic-speed-4-hombre-1011b875-asi-751.html"
"Asics","Zapatos Asics Gt-1000 13 Hombre","101.43","https://fitpoint.ec/zapatos-asics-gt-1000-13-hombre-1011b858-asi-005.html"
"Asics","Zapatos Asics Court Slide 3 Mujer","47.45","https://fitpoint.ec/zapatos-asics-court-slide-3-mujer-1042a209-103-asi-103.html"
"Asics","Zapatos GEL Dedicate 8 Clay Hombre","74.94","https://fitpoint.ec/zapatos-gel-dedicate-8-clay-hombre-1041a448-401-asi-401.html"
"Asics","Zapatos Magic Speed 4 Mujer","125.94","https://fitpoint.ec/zapatos-magic-speed-4-mujer-1012b676-750-asi-750.html"
"Asics","Zapatos Gt 1000 13 Mujer","86.94","https://fitpoint.ec/zapatos-gt-1000-13-mujer-1012b663-005-asi-005.html"
"Asics","Zapatos Asics Gel Pulse 15 Mujer","72.45","https://fitpoint.ec/zapatos-asics-gel-pulse-15-mujer-1012b593-500-asi-500-01.html"
"Asics","Zapatos Asics Gel Pulse 15 Mujer","72.45","https://fitpoint.ec/zapatos-asics-gel-pulse-15-mujer-1012b593-004-asi-004-02.html"
"Asics","Zapatos Asics Novablast 4 Bold Magenta/Black Mujer","107.94","https://fitpoint.ec/zapatos-asics-novablast-4-bold-magenta-black-mujer-1012b510-500-asi-500.html"
"Asics","Zapatos Asics Jolt 4 Mujer","56.94","https://fitpoint.ec/zapatos-asics-jolt-4-mujer-1012b421-404-asi-404-01.html"
"Asics","Zapatos Asics Jolt 4 Mujer","47.45","https://fitpoint.ec/zapatos-asics-jolt-4-mujer-1012b421-009-asi-009.html"
